label,message
ham,Halo, nanti ketemu jam 3 di kafe biasa ya!
spam,Selamat! Anda memenangkan hadiah Rp100.000.000! Klik link ini untuk klaim: www.hadiahpalsu.com
ham,Sudah makan belum? Jangan lupa bawa dokumennya ya.
spam,Pinjaman tanpa jaminan! Cair hanya dalam 5 menit! Hubungi 0812xxxxxxx sekarang!
ham,Besok rapat jam 10 pagi, tolong datang tepat waktu ya.
spam,GRATIS pulsa Rp50.000 untuk 100 orang pertama! Ketik REG kirim ke 88888
ham,Maaf baru balas, tadi sibuk banget di kampus.
spam,Ayo join aplikasi penghasil uang tercepat! Cukup nonton video bisa dapat jutaan!
ham,Terima kasih ya bantuannya tadi. Sukses selalu!
spam,Akun Anda terpilih mendapat diskon 90%! Klik bit.ly/palsu-diskon untuk ambil voucher
